row,legacyResourceId,handle,title,vendor,productType,status,onlineStoreUrl,variant_count,variant_skus,variant_barcodes,existing_sources,existing_identifiers
11,7895543152751,kiya-no-180-edelweiss-japanese-bread-knife-225mm-professional-serrated,Kiya No.180 Edelweiss Japanese Bread Knife - 225mm Professional Serrated,Nihonbashi Kiya,,ACTIVE,https://japansprime.com/products/kiya-no-180-edelweiss-japanese-bread-knife-225mm-professional-serrated,1,KIYA-BRDKNF-225,,"{""legacyResourceId"":""7895543152751"",""sourceUrl"":""https://japanesetaste.com//products/kiya-no-180-edelweiss-steel-japanese-bread-knife-225mm""}",{}
12,7895543185519,kiya-no-160-edelweiss-steel-18cm-kamagata-usuba-vegetable-knife,Kiya No. 160 Edelweiss Steel 18cm Kamagata Usuba Vegetable Knife,Kiya,,ACTIVE,https://japansprime.com/products/kiya-no-160-edelweiss-steel-18cm-kamagata-usuba-vegetable-knife,1,KIYA-USBKNF-180,,"{""legacyResourceId"":""7895543185519"",""sourceUrl"":""https://japanesetaste.com//products/kiya-no-160-edelweiss-steel-japanese-kamagata-usuba-knife-18cm""}",{}
13,7895547445359,kiya-no-160-edelweiss-steel-petty-knife-120mm,Kiya No. 160 Edelweiss Steel Petty Knife - 120mm Professional Paring Knife,Kiya,,ACTIVE,https://japansprime.com/products/kiya-no-160-edelweiss-steel-petty-knife-120mm,1,KIYA-PTYKNF-120,,"{""legacyResourceId"":""7895547445359"",""sourceUrl"":""https://japanesetaste.com//products/kiya-no-160-edelweiss-steel-japanese-petty-knife-12cm""}",{}
14,7895547478127,kokuyo-harinacs-10-sheet-stapleless-stapler-sln-msh110,Kokuyo Harinacs 10-Sheet Stapleless Stapler - SLN-MSH110 Eco-Friendly Binder,Kokuyo,,ACTIVE,https://japansprime.com/products/kokuyo-harinacs-10-sheet-stapleless-stapler-sln-msh110,5,KKYO-HARSTA-SLNMSH110BK | KKYO-HARSTA-SLNMSH110GR | KKYO-HARSTA-SLNMSH110LB | KKYO-HARSTA-SLNMSH110PK | KKYO-HARSTA-SLNMSH110WH, |  |  |  | ,"{""legacyResourceId"":""7895547478127"",""sourceUrl"":""https://japanesetaste.com//products/kokuyo-harinacs-stapleless-stapler-sln-msh110""}",{}
15,7895547510895,kiya-edelweiss-stainless-steel-kitchen-scissors-professional-japanese-multi-tool,Kiya Edelweiss Stainless Steel Kitchen Scissors - Professional Japanese Multi-Tool,Kiya,,ACTIVE,https://japansprime.com/products/kiya-edelweiss-stainless-steel-kitchen-scissors-professional-japanese-multi-tool,1,KIYA-SCISOR-BLY09,,"{""legacyResourceId"":""7895547510895"",""sourceUrl"":""https://japanesetaste.com//products/kiya-edelweiss-steel-japanese-kitchen-scissors-bly09""}",{}
16,7895547674735,kuretake-zig-clean-color-real-brush-marker-set-36-vibrant-japanese-colors,Kuretake ZIG Clean Color Real Brush Marker Set - 36 Vibrant Japanese Colors,Kuretake,,ACTIVE,https://japansprime.com/products/kuretake-zig-clean-color-real-brush-marker-set-36-vibrant-japanese-colors,1,KTKE-ZIGMRK-RB6000AT36V,,"{""legacyResourceId"":""7895547674735"",""sourceUrl"":""https://japanesetaste.com//products/kuretake-zig-clean-color-real-brush-marker-36-colors-rb-6000at-36v""}",{}
17,7895547707503,kousyo-okinawa-brown-sugar-syrup-1000g-premium-japanese-kuromitsu,Kousyo Okinawa Brown Sugar Syrup 1000g - Premium Japanese Kuromitsu,Kousyo,,ACTIVE,https://japansprime.com/products/kousyo-okinawa-brown-sugar-syrup-1000g-premium-japanese-kuromitsu,1,KSYO-KROMSU-500,,"{""legacyResourceId"":""7895547707503"",""sourceUrl"":""https://japanesetaste.com//products/kousyo-kuromitsu-okinawa-brown-sugar-syrup-1000g""}",{}
18,7895554195567,kokuyo-harinacs-press-needleless-stapler-5-sheet-eco-binding,Kokuyo Harinacs Press Needleless Stapler - 5-Sheet Eco-Binding,Kokuyo,,ACTIVE,https://japansprime.com/products/kokuyo-harinacs-press-needleless-stapler-5-sheet-eco-binding,4,KKYO-HARSTA-SLNMPH105BL | KKYO-HARSTA-SLNMPH105GR | KKYO-HARSTA-SLNMPH105PK | KKYO-HARSTA-SLNMPH105WH, |  |  | ,"{""legacyResourceId"":""7895554195567"",""sourceUrl"":""https://japanesetaste.com//products/kokuyo-harinacs-press-stapleless-stapler-sln-mph105""}",{}
19,7895554293871,kuretake-no-8-fountain-brush-pen-professional-japanese-calligraphy-set,Kuretake No. 8 Fountain Brush Pen - Professional Japanese Calligraphy Set,Kuretake,,ACTIVE,https://japansprime.com/products/kuretake-no-8-fountain-brush-pen-professional-japanese-calligraphy-set,1,KTKE-FNTPEN-DP1508B,,"{""legacyResourceId"":""7895554293871"",""sourceUrl"":""https://japanesetaste.com//products/kuretake-japanese-fountain-pen-dp150-8b""}",{}
20,7895555735663,kuretake-handcrafted-fountain-brush-pen-tortoise-shell-pattern,Kuretake Handcrafted Fountain Brush Pen - Elegant Tortoise Shell Pattern,Kuretake,,ACTIVE,https://japansprime.com/products/kuretake-handcrafted-fountain-brush-pen-tortoise-shell-pattern,1,KTKE-FNTPEN-DW14150,,"{""legacyResourceId"":""7895555735663"",""sourceUrl"":""https://japanesetaste.com//products/kuretake-handcrafted-calligraphy-brush-pen-tortoise-shell-pattern""}",{}
21,7895555768431,kuretake-genuine-black-leather-fountain-brush-pen-gold-accents-3-refills,Kuretake Genuine Black Leather Fountain Brush Pen - Gold Accents & 3 Refills,Kuretake,,ACTIVE,https://japansprime.com/products/kuretake-genuine-black-leather-fountain-brush-pen-gold-accents-3-refills,1,KTKE-FNTPEN-DV14040,,"{""legacyResourceId"":""7895555768431"",""sourceUrl"":""https://japanesetaste.com//products/kuretake-brush-pen-gold-black-leather-pattern-3-ink-pen-refills""}",{}
22,7895558553711,kuretake-gansai-tambi-24-color-watercolor-set-professional-artist-quality,Kuretake Gansai Tambi 24-Color Watercolor Set - Professional Artist Quality,Kuretake,,ACTIVE,https://japansprime.com/products/kuretake-gansai-tambi-24-color-watercolor-set-professional-artist-quality,1,KTKE-WTCPNT-MC2024V,,"{""legacyResourceId"":""7895558553711"",""sourceUrl"":""https://japanesetaste.com//products/kuretake-gansai-tambi-watercolor-paint-set-24-colors-mc20-24v""}",{}
23,7895558586479,kuretake-zig-clean-color-real-brush-markers-48-vibrant-color-set,Kuretake ZIG Clean Color Real Brush Markers - 48 Vibrant Color Set,Kuretake,,ACTIVE,https://japansprime.com/products/kuretake-zig-clean-color-real-brush-markers-48-vibrant-color-set,1,KTKE-ZIGMRK-RB6000AT48V,,"{""legacyResourceId"":""7895558586479"",""sourceUrl"":""https://japanesetaste.com//products/kuretake-zig-clean-color-real-brush-marker-48-colors-rb-6000at-48v""}",{}
24,7895558619247,morinaga-hi-chew-fruit-candy-assortment-3-iconic-flavors-86g,Morinaga Hi-Chew Fruit Candy Assortment - 3 Iconic Flavors (86g),Morinaga,,ACTIVE,https://japansprime.com/products/morinaga-hi-chew-fruit-candy-assortment-3-iconic-flavors-86g,1,MRNG-HICHEW-AS94,,"{""legacyResourceId"":""7895558619247"",""sourceUrl"":""https://japanesetaste.com//products/morinaga-hi-chew-japanese-soft-candy-3-flavors-assortment-86g""}",{}
25,7895561109615,morinaga-moonlight-cookies-14-pack-premium-japanese-butter-biscuits,Morinaga Moonlight Cookies - Premium Japanese Egg-Yolk Butter Biscuits (14pc),Morinaga,,ACTIVE,https://japansprime.com/products/morinaga-moonlight-cookies-14-pack-premium-japanese-butter-biscuits,1,MRNG-MOONLG-14,,"{""legacyResourceId"":""7895561109615"",""sourceUrl"":""https://japanesetaste.com//products/morinaga-moonlight-cookies-14-pieces""}",{}
26,7895561142383,matsunaga-premium-non-stick-shokupan-loaf-pan-1-5lb,Matsunaga Premium Non-Stick Shokupan Loaf Pan - 1.5lb Japanese Bread Mold,Matsunaga Seisakusho,,ACTIVE,https://japansprime.com/products/matsunaga-premium-non-stick-shokupan-loaf-pan-1-5lb,1,MSGA-GBRMLD-LF15,,"{""legacyResourceId"":""7895561142383"",""sourceUrl"":""https://japanesetaste.com//products/matsunaga-premium-shokupan-mold-japanese-milk-bread-pan-1-5-lb-loaf-pan""}",{}
27,7895561175151,matsunaga-premium-shokupan-bread-loaf-pan-professional-non-stick-mold,Matsunaga Premium Shokupan Bread Loaf Pan - Professional Non-Stick Mold,Matsunaga Seisakusho,,ACTIVE,https://japansprime.com/products/matsunaga-premium-shokupan-bread-loaf-pan-professional-non-stick-mold,1,MSGA-GBRMLD-LF1,,"{""legacyResourceId"":""7895561175151"",""sourceUrl"":""https://japanesetaste.com//products/matsunaga-premium-shokupan-mold-japanese-milk-bread-pan-1-lb-loaf-pan""}",{}
28,7895561437295,stalogy-thin-sticky-notes-12-vivid-colors-ultra-slim-7-5x50mm,Stalogy Thin Sticky Notes - 12 Vivid Colors - Ultra-Slim 7.5x50mm,Stalogy,,ACTIVE,https://japansprime.com/products/stalogy-thin-sticky-notes-12-vivid-colors-ultra-slim-7-5x50mm,1,NITO-STKNTS-S3010,,"{""legacyResourceId"":""7895561437295"",""sourceUrl"":""https://japanesetaste.com//products/nitto-stalogy-thin-sticky-notes-12-colors-s3010""}",{}
29,7895561732207,stalogy-b6-365-days-notebook-black-minimalist-grid-planner,Stalogy B6 365 Days Notebook - Black Minimalist Grid Planner,Stalogy,,ACTIVE,https://japansprime.com/products/stalogy-b6-365-days-notebook-black-minimalist-grid-planner,1,NITO-365NOT-B6BK,,"{""legacyResourceId"":""7895561732207"",""sourceUrl"":""https://japanesetaste.com//products/nitto-stalogy-b6-editors-series-365-days-notebook-grid-paper-notebook-black""}",{}
30,7895561764975,nitto-stalogy-editors-series-365days-a5-grid-notebook,Nitto Stalogy Editor's Series 365Days A5 Grid Notebook - Made in Japan,Nitto Stalogy,,ACTIVE,https://japansprime.com/products/nitto-stalogy-editors-series-365days-a5-grid-notebook,4,NITO-STNOTB-A5BK | NITO-STNOTB-A5RD | NITO-STNOTB-A5BL | NITO-STNOTB-A5YW, |  |  | ,"{""legacyResourceId"":""7895561764975"",""sourceUrl"":""https://japanesetaste.com//products/nitto-stalogy-a5-editors-series-365-days-notebook-grid-paper-notebook""}",{}
31,7895563403375,namisato-sugarless-gluten-free-rice-flour-pancake-mix-200g,Namisato Sugarless & Gluten-Free Rice Flour Pancake Mix (200g),Namisato,,ACTIVE,https://japansprime.com/products/namisato-sugarless-gluten-free-rice-flour-pancake-mix-200g,1,NMST-RFLPNK-200,,"{""legacyResourceId"":""7895563403375"",""sourceUrl"":""https://japanesetaste.com//products/namisato-sugarless-gluten-free-rice-flour-pancake-mix-200g""}",{}
32,7895563436143,nitto-stainless-steel-label-remover-pentagonal-precision-tool,Nitto Stainless Steel Label Remover - Pentagonal Precision Tool,Nitto,,ACTIVE,https://japansprime.com/products/nitto-stainless-steel-label-remover-pentagonal-precision-tool,1,NITO-STKRMV-T0860,,"{""legacyResourceId"":""7895563436143"",""sourceUrl"":""https://japanesetaste.com//products/nitto-peeler-stainless-steel-label-remover-t0860""}",{}
33,7895563534447,oigen-nambu-cast-iron-tetsubin-kettle-1-2l-arare-japanese-teapot,Oigen Nambu Cast Iron Tetsubin Kettle - 1.2L Arare Japanese Teapot,Oigen,,ACTIVE,https://japansprime.com/products/oigen-nambu-cast-iron-tetsubin-kettle-1-2l-arare-japanese-teapot,1,OIGN-TTSBIN-H159S,,"{""legacyResourceId"":""7895563534447"",""sourceUrl"":""https://japanesetaste.com//products/oigen-nambu-iron-kettle-tetsubin-kangetsu-arare-h159s-1-2l""}",{}
34,7895563567215,nissin-hayashi-meshi-instant-beef-curry-rice-rich-demi-glace-flavor,Nissin Hayashi Meshi Instant Beef Curry Rice - Rich Demi-Glace Flavor,Nissin,,ACTIVE,https://japansprime.com/products/nissin-hayashi-meshi-instant-beef-curry-rice-rich-demi-glace-flavor,1,NSSN-HYAMSH-103,,"{""legacyResourceId"":""7895563567215"",""sourceUrl"":""https://japanesetaste.com//products/nissin-hayashi-meshi-demi-glace-instant-beef-hayashi-rice-103g""}",{}
35,7895563829359,oigen-nambu-cast-iron-taiyaki-maker-japanese-fish-shaped-pan,Oigen Nambu Cast Iron Taiyaki Maker - Authentic Japanese Fish-Shaped Pan,Oigen,,ACTIVE,https://japansprime.com/products/oigen-nambu-cast-iron-taiyaki-maker-japanese-fish-shaped-pan,1,OIGN-TAIYKI-F463,,"{""legacyResourceId"":""7895563829359"",""sourceUrl"":""https://japanesetaste.com//products/oigen-nambu-cast-iron-taiyaki-maker-f-463""}",{}
36,7895566909551,pilot-frixion-waai-erasable-gel-pen-8-color-set,Pilot Frixion Waai Erasable Gel Pen 8-Color Set - 0.5mm Japanese Stationery,Pilot,,ACTIVE,https://japansprime.com/products/pilot-frixion-waai-erasable-gel-pen-8-color-set,1,PLOT-KNKPEN-LFBK230EF10C,,"{""legacyResourceId"":""7895566909551"",""sourceUrl"":""https://japanesetaste.com//products/pilot-waai-frixion-erasable-gel-ink-ballpoint-pen-8-color-set""}",{}
37,7895566942319,namisato-gluten-free-rice-flour-panko-flakes-100g,Namisato Gluten-Free Rice Flour Panko Flakes - 100g Crispy Japanese Coating,Namisato,,ACTIVE,https://japansprime.com/products/namisato-gluten-free-rice-flour-panko-flakes-100g,1,NMST-GFPNKO-120,,"{""legacyResourceId"":""7895566942319"",""sourceUrl"":""https://japanesetaste.com//products/kanpy-gluten-free-breadcrumbs-rice-flour-panko-flakes-100g""}",{}
38,7895566975087,pentel-graphgear-1000-professional-drafting-mechanical-pencil-0-3mm,Pentel GraphGear 1000 Professional Drafting Mechanical Pencil - 0.3mm,Pentel,,ACTIVE,https://japansprime.com/products/pentel-graphgear-1000-professional-drafting-mechanical-pencil-0-3mm,5,PNTL-GPGEAR-PG1013 | PNTL-GPGEAR-PG1014 | PNTL-GPGEAR-PG1015 | PNTL-GPGEAR-PG1017 | PNTL-GPGEAR-PG1019, |  |  |  | ,"{""legacyResourceId"":""7895566975087"",""sourceUrl"":""https://japanesetaste.com//products/pentel-graphgear-1000-mechanical-pencil""}",{}
39,7895567564911,naturaglace-all-in-one-makeup-cream-natural-beige-spf50-30g,Naturaglace All-In-One Makeup Cream SPF50+ PA++++ Natural Beige 30g,Naturaglace,,ACTIVE,https://japansprime.com/products/naturaglace-all-in-one-makeup-cream-natural-beige-spf50-30g,1,SGAO-CCCRFO-PN25,,"{""legacyResourceId"":""7895567564911"",""sourceUrl"":""https://japanesetaste.com//products/naturaglace-all-in-one-makeup-cream-natural-beige-spf50-30g""}",{}
40,7895567597679,ribon-raw-yuzu-citrus-herbal-throat-drops-vitamin-c-90g,Ribon Raw Yuzu Citrus Herbal Throat Drops with Vitamin C - 90g,Ribon,,ACTIVE,https://japansprime.com/products/ribon-raw-yuzu-citrus-herbal-throat-drops-vitamin-c-90g,1,RBON-YZUDRP-90,,"{""legacyResourceId"":""7895567597679"",""sourceUrl"":""https://japanesetaste.com//products/ribon-raw-yuzu-citrus-herbal-cough-drops-78g""}",{}
41,7895567630447,pentel-energel-rtx-retractable-liquid-gel-pen-set,Pentel EnerGel RTX Retractable Liquid Gel Pen Set - Smooth Quick-Dry Ink,Pentel,,ACTIVE,https://japansprime.com/products/pentel-energel-rtx-retractable-liquid-gel-pen-set,5,PNTL-ENRGEL-BLN73A | PNTL-ENRGEL-BLN74A | PNTL-ENRGEL-BLN75ZA | PNTL-ENRGEL-BL77A | PNTL-ENRGEL-BL80A, |  |  |  | ,"{""legacyResourceId"":""7895567630447"",""sourceUrl"":""https://japanesetaste.com//products/pentel-energel-liquid-gel-ink-ballpoint-pen""}",{}
42,7895567827055,naturaglace-6-in-1-cc-cream-spf50-lavender-pink-30g,Naturaglace 6-in-1 CC Cream SPF50 - Lavender Pink 30g,Naturaglace,,ACTIVE,https://japansprime.com/products/naturaglace-6-in-1-cc-cream-spf50-lavender-pink-30g,1,SGAO-CCCRFO-PO25,,"{""legacyResourceId"":""7895567827055"",""sourceUrl"":""https://japanesetaste.com//products/naturaglace-all-in-one-color-correcting-makeup-cream-lavender-pink-spf50-30g""}",{}
43,7895567859823,naturaglace-skin-balancing-base-spf31-pa-25ml-hydrating-primer,Naturaglacé Skin Balancing Base SPF31 PA++ - 25ml Hydrating Primer,Naturaglacé,,ACTIVE,https://japansprime.com/products/naturaglace-skin-balancing-base-spf31-pa-25ml-hydrating-primer,1,SGAO-SWCFND-WH25,,"{""legacyResourceId"":""7895567859823"",""sourceUrl"":""https://japanesetaste.com//products/naturaglace-skin-balancing-makeup-base-spf31-25ml""}",{}
44,7895576215663,naturaglace-uv-protection-base-natural-sunscreen-spf50-pa-30ml,Naturaglace UV Protection Base Natural Sunscreen SPF50+ PA++++ - 30ml,Naturaglace,,ACTIVE,https://japansprime.com/products/naturaglace-uv-protection-base-natural-sunscreen-spf50-pa-30ml,1,SGAO-SWCFND-PK25,,"{""legacyResourceId"":""7895576215663"",""sourceUrl"":""https://japanesetaste.com//products/naturaglace-uv-protection-base-naturally-derived-sunscreen-spf50-30ml""}",{}
45,7895580475503,tombow-8900-hb-graphite-pencils-professional-12-piece-set,Tombow 8900 HB Graphite Pencils - Professional 12-Piece Set,Tombow,,ACTIVE,https://japansprime.com/products/tombow-8900-hb-graphite-pencils-professional-12-piece-set,1,TMBW-GRPNCL-HB12,,"{""legacyResourceId"":""7895580475503"",""sourceUrl"":""https://japanesetaste.com//products/tombow-8900-graphite-pencils-hb-12-pieces""}",{}
46,7895580639343,tombow-fudenosuke-brush-pen-set-10-professional-colors,Tombow Fudenosuke Brush Pen Set - 10 Professional Water-Based Colors,Tombow,,ACTIVE,https://japansprime.com/products/tombow-fudenosuke-brush-pen-set-10-professional-colors,1,TMBW-BSHPEN-WSBH10C,,"{""legacyResourceId"":""7895580639343"",""sourceUrl"":""https://japanesetaste.com//products/tombow-fudenosuke-brush-pen-10-colors-ws-bh10c""}",{}
47,7895580672111,tojiro-dp-cobalt-150mm-boning-knife-poultry-blade,Tojiro DP Cobalt 150mm Boning Knife - Professional Japanese Poultry Blade,Tojiro,,ACTIVE,https://japansprime.com/products/tojiro-dp-cobalt-150mm-boning-knife-poultry-blade,1,TJRO-BONKNF-FU803,,"{""legacyResourceId"":""7895580672111"",""sourceUrl"":""https://japanesetaste.com//products/tojiro-fujitora-dp-cobalt-boning-knife-150mm-fu-803""}",{}
48,7895580704879,shiseido-bio-performance-advanced-renewing-cream-50g,Shiseido Bio-Performance Advanced Super Revitalizing Cream - 50g Anti-Aging,Shiseido,,ACTIVE,https://japansprime.com/products/shiseido-bio-performance-advanced-renewing-cream-50g,1,SHIS-BIOARC-50,,"{""legacyResourceId"":""7895580704879"",""sourceUrl"":""https://japanesetaste.com//products/shiseido-bio-performance-advanced-renewing-cream-skin-moisturizer-50g""}",{}
49,7895580737647,tunemakers-undiluted-alpha-arbutin-essence-10ml,Tunemakers Undiluted Alpha Arbutin Essence 10ml - Brightening Serum,Tunemakers,,ACTIVE,https://japansprime.com/products/tunemakers-undiluted-alpha-arbutin-essence-10ml,1,TNMK-ARBTIN-10,,"{""legacyResourceId"":""7895580737647"",""sourceUrl"":""https://japanesetaste.com//products/tunemakers-undiluted-alpha-arbutin-essence-10ml""}",{}
50,7895580770415,tojiro-dp-cobalt-alloy-steel-240mm-gyuto-knife-fu-809,Tojiro DP Cobalt Alloy Steel 240mm Gyuto Knife FU-809,Tojiro,,ACTIVE,https://japansprime.com/products/tojiro-dp-cobalt-alloy-steel-240mm-gyuto-knife-fu-809,1,TJRO-GYUKNF-FU809,,"{""legacyResourceId"":""7895580770415"",""sourceUrl"":""https://japanesetaste.com//products/tojiro-fujitora-dp-cobalt-gyuto-knife-240mm-fu-809""}",{}
51,7895580803183,unicharm-softalk-3-layer-surgical-face-mask-100-count-box,Unicharm Softalk 3-Layer Surgical Face Mask - 100 Count Box Made in Japan,Unicharm,,ACTIVE,https://japansprime.com/products/unicharm-softalk-3-layer-surgical-face-mask-100-count-box,1,UCRM-SURMSK-M100,,"{""legacyResourceId"":""7895580803183"",""sourceUrl"":""https://japanesetaste.com//products/unicharm-softalk-white-surgical-face-mask-three-layer-mask-100-ct""}",{}
52,7895580835951,tsujiri-authentic-japanese-sencha-green-tea-bags-50-count,Tsujiri Authentic Japanese Sencha Green Tea Bags - 50 Count Premium Uji Tea,Tsujiri,,ACTIVE,https://japansprime.com/products/tsujiri-authentic-japanese-sencha-green-tea-bags-50-count,1,TSUJ-SENCHA-TB50,,"{""legacyResourceId"":""7895580835951"",""sourceUrl"":""https://japanesetaste.com//products/tsujiri-japanese-sencha-green-tea-bags-50-ct""}",{}
53,7895580967023,tsujiri-premium-japanese-genmaicha-tea-bags-50ct,Tsujiri Premium Japanese Genmaicha Tea Bags - Roasted Rice Green Tea 50ct,Tsujiri,,ACTIVE,https://japansprime.com/products/tsujiri-premium-japanese-genmaicha-tea-bags-50ct,1,TSUJ-GENCHA-TB50,,"{""legacyResourceId"":""7895580967023"",""sourceUrl"":""https://japanesetaste.com//products/tsujiri-japanese-genmaicha-brown-rice-green-tea-bags-50-ct""}",{}
54,7895580999791,zebra-mildliner-dual-tip-highlighter-set-elegant-muted-colors,Zebra Mildliner Dual-Tip Highlighter Set - Elegant Muted Colors,Zebra,,ACTIVE,https://japansprime.com/products/zebra-mildliner-dual-tip-highlighter-set-elegant-muted-colors,1,ZBRA-MRKELC-WFT85CNC,,"{""legacyResourceId"":""7895580999791"",""sourceUrl"":""https://japanesetaste.com//products/zebra-mildliner-highlighter-markers-elegant-colors-wft8-5c-nc-n""}",{}
55,7895581032559,zebra-mildliner-dual-tip-highlighter-set-5-vibrant-bright-colors,Zebra Mildliner Dual-Tip Highlighter Set - 5 Vibrant Bright Colors,Zebra,,ACTIVE,https://japansprime.com/products/zebra-mildliner-dual-tip-highlighter-set-5-vibrant-bright-colors,1,ZBRA-MRKBRC-WFT85CHC,,"{""legacyResourceId"":""7895581032559"",""sourceUrl"":""https://japanesetaste.com//products/zebra-mildliner-highlighter-markers-bright-colors-wft8-5c-hc-n""}",{}
56,7895581229167,umezawa-sawara-cypress-36cm-hangiri-wooden-sushi-oke-bowl,Umezawa Sawara Cypress 36cm Hangiri - Authentic Japanese Sushi Bowl,Umezawa,,ACTIVE,https://japansprime.com/products/umezawa-sawara-cypress-36cm-hangiri-wooden-sushi-oke-bowl,1,UMZW-SAWOKE-36,,"{""legacyResourceId"":""7895581229167"",""sourceUrl"":""https://japanesetaste.com//products/umezawa-sawara-cypress-hangiri-wooden-sushi-oke-bowl-36cm""}",{}
57,7895581261935,zebra-sarasa-clip-gel-pen-set-0-5mm-5-colors,"Zebra Sarasa Clip Gel Pen Set - 0.5mm Fine Point, 5 Vibrant Colors",Zebra,,ACTIVE,https://japansprime.com/products/zebra-sarasa-clip-gel-pen-set-0-5mm-5-colors,1,ZBRA-GELPEN-PJJ155A,,"{""legacyResourceId"":""7895581261935"",""sourceUrl"":""https://japanesetaste.com//products/zebra-sarasa-clip-gel-ink-pens-5-colors-0-5mm-p-jj15-5a""}",{}
